# Threads                __sync_add_and_fetch     mutex                    spinlock                 
2                        70977                    197878                   98813                    
3                        80476                    354231                   291902                   
4                        102664                   461337                   621058                   
5                        119961                   556652                   791256                   
6                        132376                   778103                   1016090                  
7                        179626                   965425                   1204594                  
8                        190651                   1089236                  1469542                  
9                        216281                   1241860                  1845462                  
10                       239592                   1388527                  2051816                  
11                       254490                   1545882                  2720259                  
12                       289512                   1680452                  3116106                  
13                       310595                   1844968                  3617209                  
14                       333621                   1985225                  4305381                  
15                       344508                   2133497                  4741892                  
16                       370712                   2287872                  5554342                  
17                       407957                   2437609                  6254307                  
18                       437474                   2589524                  7144674                  
19                       455584                   2742479                  7742627                  
20                       477795                   2892815                  8765340                  
21                       501818                   3042208                  9166648                  
22                       529629                   3189476                  9738211                  
23                       549650                   3337107                  10347301                 
24                       573642                   3487802                  11310559                 
25                       600736                   3642055                  12741959                 
26                       623713                   3793208                  13493917                 
27                       645876                   3958156                  14228948                 
28                       674060                   4102978                  15604453                 
29                       691310                   4260943                  16346946                 
30                       716741                   4411153                  16973479                 
31                       742418                   4561745                  19047024                 
32                       766855                   4719611                  19848293                 
